,max_salary,med_salary,normalized_salary,views,sponsored,company_name_encoded,pay_period_encoded,work_type_encoded,formatted_experience_level_encoded,state_encoded,listing_month,listing_day_of_week
max_salary,1.0,0.012820324282378712,0.005210323158660091,0.012682222812456916,,-0.023149659759720335,0.5852879516921848,-0.034296953252519684,0.06760786214406986,0.030200356904233644,-6.127252502000519e-05,-0.0014352352866082215
med_salary,0.012820324282378712,1.0,0.07071982645791336,-0.00041797274480934643,,-0.002897299767190327,-0.02828027364635542,-0.0015976805419904885,0.0023590879795713253,-0.005296328871034345,0.00012792925714046424,-0.002483567489411456
normalized_salary,0.005210323158660091,0.07071982645791336,1.0,-0.008338344329358843,,-0.008455059555855033,-0.525409412372109,0.05386409506676245,-0.0411462008006846,-0.02741024078008399,-0.014536328896451527,0.009755514990219705
views,0.012682222812456916,-0.00041797274480934643,-0.008338344329358843,1.0,,7.696330759544209e-05,-0.005675443929656987,-0.03970474529674089,0.013104860481275354,0.05320313654189918,0.00038581167144467103,-0.0951303701169808
sponsored,,,,,,,,,,,,
company_name_encoded,-0.023149659759720335,-0.002897299767190327,-0.008455059555855033,7.696330759544209e-05,,1.0,-0.013646317624360292,0.027707796714073762,0.011735539245761898,0.004347016877542868,-0.003942444756200466,-0.00021725664764261
pay_period_encoded,0.5852879516921848,-0.02828027364635542,-0.525409412372109,-0.005675443929656987,,-0.013646317624360292,1.0,-0.025504001698850778,0.062488870952904216,0.055536002875565545,0.007647786325137439,-0.0006264613589888138
work_type_encoded,-0.034296953252519684,-0.0015976805419904885,0.05386409506676245,-0.03970474529674089,,0.027707796714073762,-0.025504001698850778,1.0,-0.08821946396281974,-0.03944934081356299,-0.007735026170827299,0.03746937880759136
formatted_experience_level_encoded,0.06760786214406986,0.0023590879795713253,-0.0411462008006846,0.013104860481275354,,0.011735539245761898,0.062488870952904216,-0.08821946396281974,1.0,0.038410483607945085,0.0025719143825437157,0.006699882765211623
state_encoded,0.030200356904233644,-0.005296328871034345,-0.02741024078008399,0.05320313654189918,,0.004347016877542868,0.055536002875565545,-0.03944934081356299,0.038410483607945085,1.0,-0.003594086214229278,-0.01689036068148389
listing_month,-6.127252502000519e-05,0.00012792925714046424,-0.014536328896451527,0.00038581167144467103,,-0.003942444756200466,0.007647786325137439,-0.007735026170827299,0.0025719143825437157,-0.003594086214229278,1.0,-0.006539743041284298
listing_day_of_week,-0.0014352352866082215,-0.002483567489411456,0.009755514990219705,-0.0951303701169808,,-0.00021725664764261,-0.0006264613589888138,0.03746937880759136,0.006699882765211623,-0.01689036068148389,-0.006539743041284298,1.0
